iso_code,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,population,median_age,life_expectancy
37,1275.0,37.0,14.0,0.0,48.335,1.403,0.531,0.0,0.0,0.0,0.0,0.0,26378275.0,18.7,57.78
183,11.0,0.0,0.0,0.0,111.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98340.0,36.2,73.4
150,288047.0,747.0,6162.0,9.0,1304.015,3.382,27.896,0.041,23722.0,2253131.0,10.2,0.107,220892331.0,23.5,67.27
198,453.0,7.0,7.0,0.0,130.407,2.015,2.015,0.0,660.0,8774.0,2.526,0.19,3473727.0,35.6,77.91
93,10075.0,1075.0,429.0,75.0,119.951,12.799,5.108,0.893,0.0,0.0,0.0,0.0,83992953.0,32.4,76.68
99,441.0,3.0,32.0,0.0,4363.183,29.682,316.603,0.0,0.0,0.0,0.0,0.0,101073.0,31.27254075634616,73.99579780705582
192,780.0,33.0,35.0,1.0,65.998,2.792,2.961,0.085,692.0,15332.0,1.297,0.059,11818618.0,32.7,76.7
126,10623.0,119.0,480.0,4.0,5098.926,57.119,230.395,1.92,0.0,0.0,0.0,0.0,2083380.0,39.1,75.8
3,3.0,0.0,0.0,0.0,199.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002.0,31.27254075634616,81.88
62,130.0,4.0,3.0,0.0,1.131,0.035,0.026,0.0,1408.0,17842.0,0.155,0.012,114963583.0,19.8,66.6
